title,budget,gross,imdb_score,meta_score,opening_weekend,rated,release_date,run_time,max_meta_actor_score,min_meta_actor_score,sum_max_meta_actor_score,sum_min_meta_actor_score,avg_meta_high_actor_score,avg_meta_avg_actor_score,max_user_actor_score,min_user_actor_score,sum_max_user_actor_score,sum_min_user_actor_score,avg_user_high_actor_score,avg_user_median_actor_score,max_meta_director_score,min_meta_director_score,sum_max_meta_director_score,sum_min_meta_director_score,avg_meta_high_director_score,avg_meta_avg_director_score,max_user_director_score,min_user_director_score,sum_max_user_director_score,sum_min_user_director_score,avg_user_high_director_score,avg_user_median_director_score,max_meta_writer_score,min_meta_writer_score,sum_max_meta_writer_score,sum_min_meta_writer_score,avg_meta_high_writer_score,avg_meta_avg_writer_score,max_user_writer_score,min_user_writer_score,sum_max_user_writer_score,sum_min_user_writer_score,avg_user_high_writer_score,avg_user_median_writer_score
"1,000 Times Good Night",5284200,47331,7.1,57,4285,,24/10/2014,117,87,25,356,232,71.2,60.6,9,4,40,30,8,7.2,74,57,74,57,74,66,9,7,9,7,9,8,74,57,131,114,65.5,61.5,9,7,16,14,8,7.5
10 Cloverfield Lane,15000000,71897215,7.2,76,24702752,PG-13,11/03/2016,104,93,13,341,95,85.25,54.25,9,1,35,11,8.75,7.25,76,76,76,76,76,76,8,8,8,8,8,8,76,31,152,79,76,54,8,4,16,9,8,6.5
13 Hours: The Secret Soldiers of Benghazi,50000000,52822418,7.3,48,16000000,R,15/01/2016,144,96,7,391,112,78.2,51,10,3,44,20,8.8,7,65,28,65,28,65,42,9,4,9,4,9,6,74,48,122,96,61,54.5,7,7,14,14,7,7
1971,0,0,7.3,73,0,,06/02/2015,79,73,73,292,292,73,73,8,8,32,32,8,8,78,73,78,73,78,76,8,7,8,7,8,8,79,73,157,146,78.5,76,8,7,16,15,8,8
20th Century Women,7000000,5663855,7.4,83,130467,R,28/12/2016,119,93,18,428,147,85.6,59.8,9,1,43,19,8.6,6.8,83,59,83,59,83,73,8,7,8,7,8,7,83,59,83,59,83,73,8,7,8,7,8,7
21 Years: Richard Linklater,0,0,6.6,51,0,,07/11/2014,78,92,1,334,123,83.5,60.25,9,1,35,15,8.75,7,51,51,102,102,51,51,6,6,12,12,6,6,51,51,102,102,51,51,6,6,12,12,6,6
22 Jump Street,50000000,191616238,7.1,71,57071445,R,13/06/2014,112,87,8,255,46,85,54.6667,10,1,29,10,9.6667,7,83,56,83,56,83,68,10,5,10,5,10,8,79,16,150,87,75,64,9,3,17,11,8.5,8
23 Blast,1000000,485128,6.4,45,79312,PG-13,24/10/2014,98,77,22,201,95,67,50.6667,9,3,24,11,8,6.6667,89,27,89,27,89,57,9,3,9,3,9,7,45,45,90,90,45,45,4,4,8,8,4,4
3 Days to Kill,28000000,30688364,6.2,40,12242218,PG-13,21/02/2014,117,86,20,402,127,80.4,55.8,9,3,43,22,8.6,7,65,22,65,22,65,44,9,5,9,5,9,8,82,25,124,65,62,46,10,3,20,9,10,8.5
300: Rise of an Empire,110000000,106369117,6.2,48,45038460,R,07/03/2014,102,95,23,393,159,78.6,49.4,9,1,43,22,8.6,6.8,57,48,57,48,57,53,7,6,7,6,7,7,76,33,139,73,69.5,51.5,9,6,16,12,8,7
31,1500000,779820,5.1,35,2603,R,21/10/2016,102,71,19,243,159,48.6,41.4,9,5,36,30,7.2,6.6,77,31,77,31,77,48,8,5,8,5,8,6,77,31,77,31,77,48,8,5,8,5,8,6
45 Years,0,4250507,7.1,94,65775,R,23/12/2015,95,94,26,470,193,94,65.8,9,3,40,25,8,6.6,94,81,94,81,94,88,8,7,8,7,8,8,94,81,188,175,94,91,8,7,15,14,7.5,7.5
5 Flights Up,6000000,1013061,6.2,55,238491,PG-13,08/05/2015,92,100,18,419,112,83.8,55.6,10,1,44,15,8.8,7,62,45,62,45,62,55,9,7,9,7,9,9,62,22,117,77,58.5,50.5,9,7,16,14,8,8
5 to 7,0,116400,7.1,52,18006,R,03/04/2015,95,86,26,393,208,78.6,59.8,9,3,43,28,8.6,7.6,56,52,56,52,56,53,9,5,9,5,9,8,56,52,56,52,56,53,9,5,9,5,9,8
52 Tuesdays,0,0,6.3,71,0,,27/03/2015,109,71,67,355,347,71,70.2,7,6,35,33,7,6.8,71,57,71,57,71,64,7,7,7,7,7,7,71,71,142,142,71,71,7,7,14,14,7,7
7 Chinese Brothers,0,0,5.6,56,0,,28/08/2015,76,88,12,306,133,76.5,58.25,9,1,31,16,7.75,6.25,67,53,67,53,67,61,9,5,9,5,9,8,67,53,67,53,67,61,9,5,9,5,9,8
90 Minutes in Heaven,5000000,4700361,4.7,28,2035273,PG-13,11/09/2015,121,86,18,315,150,63,45.8,9,1,35,9,7,5.2,71,25,71,25,71,45,8,1,8,1,8,5,71,25,99,53,49.5,36.5,8,1,9,2,4.5,3
